dataset name,resource name,format,rows_checked,rows_pcoded,error
ourairports-ben,List of airports in Benin (HXL tags),csv,6,0,
ourairports-ben,List of airports in Benin (no HXL tags),csv,6,0,
mobility-patterns-west-africa,Estimated mobility patterns for West Africa,csv,,,Unable to download file
mobility-patterns-west-africa,"Estimated high resolution population densities for West Africa (100x100m), 2014",geotiff,,,Not checking format
wfp-food-prices,Global Food Prices Database (WFP),csv,,,
food-consumption-score-fcs,dbo_FoodConsumptionScores.csv,csv,,,Unable to read resource
coping-strategy-index-csi,dbo_CopingStrategiesIndexes.csv,csv,,,Unable to read resource
income-activitie,dbo_Incomes.csv,csv,,,Unable to read resource
fl20090708ben-flood-vectors-asarimp-09-july-2009,mapImage.kmz,kmz,,,Not checking format
fl20090708ben-flood-vectors-asarimp-09-july-2009,FL20090708BEN_gdb.zip,geodatabase,,,Unable to download file
fl20090708ben-flood-vectors-asarimp-27-august-2009,mapImage.kmz,kmz,,,Not checking format
fl20090708ben-flood-vectors-asarimp-27-august-2009,FL20090708BEN_gdb.zip,geodatabase,,,Unable to download file
benin-settlements,Settlements,shp,200,0,
benin-settlements,Benin: settlements.xlsx,xlsx,6,0,
benin-roads,Roads.zip,shp,200,0,
benin-railways,Railway.zip,shp,,,
cod-ab-ben,ben_adm_1m_salb_2019_shapes.zip,shp,,,
cod-ab-ben,ben_adm_1m_salb_2019_EMP.zip,emf,,,Not checking format
cod-ab-ben,BEN_AdminBoundaries_TabularData.xlsx,xlsx,77,77,
cod-ab-ben,ben_adm_1m_salb_2019_gdb.zip,geodatabase,,,
cod-ab-ben,BEN_FR (MapServer),geoservice,,,Not checking format
cod-ab-ben,BEN_pcode (FeatureServer),geoservice,,,Not checking format
cod-ab-ben,BEN_pcode (MapServer),geoservice,,,Not checking format
cod-ab-ben,ben_ppt_map.pptx,pptx,,,Not checking format
daily-summaries-of-precipitation-indicators-for-benin,precipitation_ben.csv,csv,,,
gar15-global-exposure-dataset-for-benin,GAR15 Global Exposure Dataset for Benin.zip,shp,,,
total-mid-year-population-population-totale-au-milieu-de-l-annee,total-mid-year-population(2006-2015).xlsx,xlsx,,,
urban-and-female-population,Urban and Female population(%).xlsx,xlsx,,,
economically-active-population-population-active,Economically active population - Population active.xlsx,xlsx,,,
gross-enrolment-ratio-in-primary-taux-brut-de-scolarisation-au-primaire,Gross enrolment ratio in primary  - Taux brut de scolarisation au primaire.xlsx,xlsx,,,
gender-parity-index-in-secondary-indice-de-parite-de-genre-au-secondaire,Gender parity index in secondary - Indice de parité de genre au secondaire.xlsx,xlsx,,,
total-migrants-total-migrants,POPULATION-migration.xlsx,xlsx,,,
girls-to-boys-ratio-for-primary-and-secondary,Girls to Boys Ratio.xlsx,xlsx,,,
adult-illiteracy-rate-taux-d-analphabetisme-des-adultes,Adult literacy.xlsx,xlsx,,,
